"","date","rf","mkt","smb","hml","rmw","cma"
"1",19630701,0.00012,-0.00658,0,-0.0032,-1e-04,0.0015
"2",19630702,0.00012,0.00802,-0.0027,0.0027,-7e-04,-0.0019
"3",19630703,0.00012,0.00642,-0.0017,-9e-04,0.0017,-0.0033
"4",19630705,0.00012,0.00412,8e-04,-0.0028,8e-04,-0.0033
"5",19630708,0.00012,-0.00618,4e-04,-0.0018,-0.0029,0.0013
"6",19630709,0.00012,0.00462,0,0.001,0.0014,-4e-04
"7",19630710,0.00012,-0.00168,0.0021,1e-04,6e-04,-7e-04
"8",19630711,0.00012,-0.00148,0.0014,-0.003,-6e-04,5e-04
"9",19630712,0.00012,-0.00108,2e-04,-0.0011,0.0012,4e-04
"10",19630715,0.00012,-0.00608,7e-04,-3e-04,0.0017,-6e-04
"11",19630716,0.00012,-0.00058,-8e-04,0.0014,-6e-04,-7e-04
"12",19630717,0.00012,-0.00318,-7e-04,0.0015,4e-04,0.001
"13",19630718,0.00012,-0.00528,0.0027,5e-04,-3e-04,0.0032
"14",19630719,0.00012,-0.00218,-6e-04,-5e-04,0.0016,-0.0031
"15",19630722,0.00012,-0.00688,-0.0011,-0.0031,-1e-04,-0.001
"16",19630723,0.00012,0.00022,-0.001,-0.002,4e-04,-8e-04
"17",19630724,0.00012,0.00472,-0.001,-1e-04,-0.0011,-0.0031
"18",19630725,0.00012,-0.00028,0.0014,0.0026,-0.0016,0.0018
"19",19630726,0.00012,0.00362,-0.0014,7e-04,4e-04,-8e-04
"20",19630729,0.00012,0.00122,-0.0017,0.0026,7e-04,-0.0011
"21",19630730,0.00012,0.00852,-0.0029,-0.0027,0.0053,-0.004
"22",19630731,0.00012,-0.00118,0.0011,-1e-04,-0.0015,0.0034
"23",19630801,0.00011,-0.00069,-0.0012,-0.0012,0.0017,-2e-04
"24",19630802,0.00011,0.00301,-0.0014,0.0015,-5e-04,2e-04
"25",19630805,0.00011,0.00581,-0.0042,0.0016,3e-04,0.0011
"26",19630806,0.00011,0.00611,-0.0034,0.0025,1e-04,-3e-04
"27",19630807,0.00011,-0.00179,4e-04,0.0017,-0.0019,0.0014
"28",19630808,0.00011,0.00151,-1e-04,-0.0025,0.0029,-0.0033
"29",19630809,0.00011,0.00611,-9e-04,-6e-04,0.0022,-0.0017
"30",19630812,0.00011,0.00251,0.002,0.0041,-0.0013,0.0032
"31",19630813,0.00011,0.00281,-0.0026,-3e-04,5e-04,-4e-04
"32",19630814,0.00011,0.00311,-8e-04,0.0021,-0.0019,5e-04
"33",19630815,0.00011,0.00441,-0.0029,0.0037,-0.0019,0
"34",19630816,0.00011,0.00161,7e-04,0.001,4e-04,-0.0018
"35",19630819,0.00011,-0.00039,-1e-04,-0.001,-6e-04,-6e-04
"36",19630820,0.00011,-0.00039,2e-04,-0.0025,2e-04,9e-04
"37",19630821,0.00011,-0.00099,0.0034,-0.0012,-7e-04,9e-04
"38",19630822,0.00011,0.00401,7e-04,9e-04,-9e-04,-0.0031
"39",19630823,0.00011,0.00351,0,0.001,6e-04,-3e-04
"40",19630826,0.00011,0.00191,-0.0012,0.0014,0.0011,-0.002
"41",19630827,0.00011,-0.00429,0.001,-5e-04,-1e-04,0.0014
"42",19630828,0.00011,0.00781,8e-04,0.0044,0.0012,0.0021
"43",19630829,0.00011,0.00191,0.0011,2e-04,0.001,0.0011
"44",19630830,0.00011,0.00451,0.0011,-9e-04,0.0013,-0.0029
"45",19630903,0.00014,0.00244,7e-04,6e-04,2e-04,0.002
"46",19630904,0.00014,4e-05,6e-04,-6e-04,-0.0039,-5e-04
"47",19630905,0.00014,0.00484,-0.001,0.0011,-9e-04,3e-04
"48",19630906,0.00014,-0.00256,-0.0017,-1e-04,0.0013,-4e-04
"49",19630909,0.00014,-0.00346,-0.0025,-1e-04,5e-04,0.0013
"50",19630910,0.00014,0.00534,-0.0017,0.0042,6e-04,-0.0024
"51",19630911,0.00014,0.00254,-0.002,0.002,-7e-04,0.0032
"52",19630912,0.00014,-0.00076,0.0011,-0.0011,-0.002,-0.0013
"53",19630913,0.00014,0.00034,0.0035,-0.0015,-0.0031,0.0012
"54",19630916,0.00014,-0.00146,0.0015,0.0019,-8e-04,-0.0038
"55",19630917,0.00014,0.00044,-0.002,0.0017,5e-04,8e-04
"56",19630918,0.00014,-0.00416,0.0012,-0.0024,-0.0015,-6e-04
"57",19630919,0.00014,0.00534,-0.0039,0.0017,0.0015,-2e-04
"58",19630920,0.00014,0.00054,-7e-04,-1e-04,9e-04,-0.0034
"59",19630923,0.00014,-0.00486,-9e-04,-0.0021,9e-04,0.0015
"60",19630924,0.00014,0.00364,-0.0033,0.0013,-7e-04,7e-04
"61",19630925,0.00014,-0.00566,-0.0025,-8e-04,-0.0041,0.0015
"62",19630926,0.00014,-0.00796,0.0047,-0.0035,-6e-04,0.0029
"63",19630927,0.00014,-0.00166,0.0028,-0.0022,0.002,-7e-04
"64",19630930,0.00014,-0.00586,0.002,8e-04,0.0021,-6e-04
"65",19631001,0.00013,0.00663,-0.0021,0.0025,-5e-04,-0.0013
"66",19631002,0.00013,0.00113,-0.0013,0,2e-04,-0.0012
"67",19631003,0.00013,0.00683,-0.0029,0.0085,-0.0035,0.0017
"68",19631004,0.00013,0.00013,3e-04,6e-04,0,0.0016
"69",19631007,0.00013,-0.00217,0.0018,-2e-04,-0.0019,-2e-04
"70",19631008,0.00013,-0.00127,0.0019,0.0025,-3e-04,-0.0021
"71",19631009,0.00013,-0.00597,0.0015,-5e-04,-1e-04,0.002
"72",19631010,0.00013,0.00093,-3e-04,0.0015,7e-04,-9e-04
"73",19631011,0.00013,0.00143,0.0039,8e-04,1e-04,-2e-04
"74",19631014,0.00013,0.00063,-1e-04,7e-04,0.001,-0.0021
"75",19631015,0.00013,0.00183,-0.0029,0.0014,1e-04,2e-04
"76",19631016,0.00013,0.00903,-0.0034,0.0027,0.0018,-0.0041
"77",19631017,0.00013,0.00153,0.001,-0.0025,0.0024,-1e-04
"78",19631018,0.00013,0.00103,0.0011,-0.0024,0.0019,-6e-04
"79",19631021,0.00013,0.00043,-0.0022,-0.003,0.0055,8e-04
"80",19631022,0.00013,-0.00527,0.0034,-0.0046,0.0027,-0.0033
"81",19631023,0.00013,0.00043,-0.0012,-5e-04,0.001,-0.001
"82",19631024,0.00013,0.00363,-7e-04,0.0047,7e-04,-0.0012
"83",19631025,0.00013,0.00863,-0.0043,-0.0089,0.0063,-0.0095
"84",19631028,0.00013,0.00423,-0.0078,-0.0028,0.0069,-0.0041
"85",19631029,0.00013,-0.00027,-0.0029,-7e-04,0.0026,0.0029
"86",19631030,0.00013,-0.00777,0.0043,-6e-04,-0.0022,0.005
"87",19631031,0.00013,0.00223,-4e-04,0.0011,0.0012,-0.0032
"88",19631101,0.00015,-0.00165,0.0026,0.0019,-0.0022,0.0022
"89",19631104,0.00015,-0.00415,8e-04,0.0036,-0.0022,0.0045
"90",19631106,0.00015,-0.00755,0.001,0.0025,-0.0012,0.0051
"91",19631107,0.00015,0.00345,5e-04,-4e-04,-7e-04,-0.0023
"92",19631108,0.00015,0.00555,6e-04,0.0012,0.0011,-0.0016
"93",19631111,0.00015,0.00215,0.0022,0.0015,0.0013,-7e-04
"94",19631112,0.00015,-0.00355,0.0025,-0.0029,0.002,-0.0018
"95",19631113,0.00015,0.00065,5e-04,-8e-04,5e-04,-0.0012
"96",19631114,0.00015,-0.00395,0.0012,-3e-04,-0.0011,0.0035
"97",19631115,0.00015,-0.00735,0.0035,0,-0.0015,0.0061
"98",19631118,0.00015,-0.00725,8e-04,-0.0023,0.0026,-4e-04
"99",19631119,0.00015,0.00115,-0.0031,0.0035,-0.0017,7e-04
"100",19631120,0.00015,0.00775,-0.0096,-0.0035,0.0026,0.0053
"101",19631121,0.00015,-0.01235,-0.0011,3e-04,-0.0044,0.0039
"102",19631122,0.00015,-0.02885,-0.0058,5e-04,0.0062,0.005
"103",19631126,0.00015,0.03955,-0.0122,0.0087,-0.0037,-0.0036
"104",19631127,0.00015,-0.00145,0.0035,0.0013,-2e-04,-7e-04
"105",19631129,0.00015,0.01355,0.0033,0.0031,-0.0023,-0.0018
"106",19631202,0.00014,0.00544,-0.0031,-0.0021,0.005,-0.0035
"107",19631203,0.00014,-0.00036,-7e-04,-0.002,0.0012,0.002
"108",19631204,0.00014,0.00264,0.0011,0.0012,-0.0013,0.0016
"109",19631205,0.00014,0.00584,-0.007,0.0012,-0.0024,0.0035
"110",19631206,0.00014,-0.00306,0.0019,8e-04,-0.0012,1e-04
"111",19631209,0.00014,-0.00096,2e-04,-0.0016,0.0012,-0.0035
"112",19631210,0.00014,0.00074,-0.0013,0.002,0.0019,0.0018
"113",19631211,0.00014,-0.00126,5e-04,9e-04,-0.0027,-0.0016
"114",19631212,0.00014,-0.00016,-0.0016,-7e-04,6e-04,0.0037
"115",19631213,0.00014,0.00174,-6e-04,0.0011,-0.0013,-2e-04
"116",19631216,0.00014,0.00264,-0.0048,-3e-04,3e-04,-0.002
"117",19631217,0.00014,0.00454,-0.0064,6e-04,0.002,-0.007
"118",19631218,0.00014,-0.00166,-0.0014,0.0057,-0.0043,0.0061
"119",19631219,0.00014,-0.00316,-8e-04,-0.0044,-2e-04,0.0025
"120",19631220,0.00014,-0.00186,-0.0023,0.0011,-6e-04,0.0044
"121",19631223,0.00014,-0.00586,0.0025,-7e-04,-0.0046,9e-04
"122",19631224,0.00014,0.00244,0.0018,-0.0015,0.0027,-0.0059
"123",19631226,0.00014,0.00484,0.0013,8e-04,-7e-04,3e-04
"124",19631227,0.00014,0.00174,9e-04,-0.0014,-0.0011,-8e-04
"125",19631230,0.00014,0.00114,-0.0031,-0.0017,0.0047,-0.004
